PSD @ YYE. Simulation done on 2023- 4-19   22h14
  -499.99999999999994        224.52510468485468     
  -487.65432098765427        224.52510468485468     
  -481.48148148148147        213.83343303319495     
  -475.30864197530860        224.52510468485468     
  -462.96296296296293        224.52510468485468     
  -456.79012345679007        213.83343303319495     
  -462.96296296296293        203.14176138153522     
  -450.61728395061726        203.14176138153519     
  -444.44444444444440        192.45008972987546     
  -450.61728395061726        181.75841807821573     
  -462.96296296296293        181.75841807821573     
  -456.79012345679007        171.06674642655597     
  -462.96296296296293        160.37507477489623     
  -475.30864197530860        160.37507477489623     
  -481.48148148148141        171.06674642655599     
  -487.65432098765433        160.37507477489626     
  -500.00000000000000        160.37507477489626     
  -493.82716049382714        149.68340312323650     
  -500.00000000000000        138.99173147157674     
  -487.65432098765433        138.99173147157677     
  -481.48148148148147        128.30005981991701     
  -487.65432098765433        117.60838816825728     
  -500.00000000000000        117.60838816825728     
  -493.82716049382714        106.91671651659753     
  -500.00000000000000        96.225044864937800     
  -487.65432098765433        96.225044864937800     
  -481.48148148148147        85.533373213278054     
  -475.30864197530860        96.225044864937786     
  -462.96296296296293        96.225044864937786     
  -456.79012345679007        85.533373213278040     
  -462.96296296296293        74.841701561618294     
  -450.61728395061726        74.841701561618279     
  -444.44444444444440        64.150029909958533     
  -438.27160493827154        74.841701561618279     
  -425.92592592592587        74.841701561618279     
  -432.09876543209873        85.533373213278011     
  -425.92592592592587        96.225044864937757     
  -413.58024691358020        96.225044864937757     
  -407.40740740740733        85.533373213278011     
  -401.23456790123447        96.225044864937743     
  -388.88888888888880        96.225044864937743     
  -382.71604938271594        85.533373213277997     
  -388.88888888888880        74.841701561618251     
  -376.54320987654313        74.841701561618251     
  -370.37037037037027        64.150029909958505     
  -376.54320987654313        53.458358258298766     
  -388.88888888888880        53.458358258298773     
  -382.71604938271594        42.766686606639027     
  -388.88888888888880        32.075014954979288     
  -376.54320987654313        32.075014954979288     
  -370.37037037037032        21.383343303319556     
  -364.19753086419746        32.075014954979288     
  -351.85185185185179        32.075014954979288     
  -345.67901234567893        21.383343303319542     
  -351.85185185185179        10.691671651659798     
  -339.50617283950612        10.691671651659801     
  -333.33333333333326        5.6843418860808015E-014
  -339.50617283950612       -10.691671651659682     
  -351.85185185185179       -10.691671651659675     
  -345.67901234567893       -21.383343303319421     
  -351.85185185185179       -32.075014954979160     
  -364.19753086419746       -32.075014954979153     
  -370.37037037037032       -21.383343303319403     
  -376.54320987654319       -32.075014954979146     
  -388.88888888888886       -32.075014954979139     
  -382.71604938271599       -42.766686606638892     
  -388.88888888888886       -53.458358258298638     
  -376.54320987654319       -53.458358258298638     
  -370.37037037037032       -64.150029909958391     
  -376.54320987654319       -74.841701561618123     
  -388.88888888888886       -74.841701561618123     
  -382.71604938271599       -85.533373213277869     
  -388.88888888888886       -96.225044864937601     
  -401.23456790123453       -96.225044864937601     
  -407.40740740740739       -85.533373213277855     
  -413.58024691358025       -96.225044864937587     
  -425.92592592592592       -96.225044864937587     
  -432.09876543209873       -85.533373213277841     
  -425.92592592592587       -74.841701561618123     
  -438.27160493827159       -74.841701561618109     
  -444.44444444444440       -64.150029909958363     
